delta_mean,delta_std,delta_max,delta_median,theta_mean,theta_std,theta_max,theta_median,alpha_mean,alpha_std,alpha_max,alpha_median,beta_mean,beta_std,beta_max,beta_median,gamma_mean,gamma_std,gamma_max,gamma_median,energy_mean,energy_std,signal_mean,signal_std,signal_skew,signal_kurtosis,spec_ent_mean,spec_ent_std,corr_mean,corr_std,corr_max,alpha_beta_ratio_mean,edf_file,label
0.43991665466061114,0.12287826341310781,0.6807148319569203,0.4258677480186518,0.1349421809013962,0.048450310582468535,0.22984858875957695,0.13249524465621326,0.04656732048610906,0.02951320139303291,0.11994703702474616,0.04241738245182416,0.0885326918841233,0.04415511949290018,0.19175547677314986,0.0790515955860435,0.08281447947819184,0.07025586948395011,0.25440917387740936,0.055182750996172536,2560.0,3.547891072255397e-13,-3.861645303044023e-18,1.0,0.2563691160360503,2.943603095553099,3.8940963444533923,0.6048318726196134,0.09407925599738823,0.3192046659497822,0.9999999999999998,0.590750600999977,chb01_01.edf,
0.491996107300175,0.14747150369742468,0.7533149271282219,0.4891254290085699,0.15701595300734458,0.07167780114632742,0.3555601673659366,0.139707472911895,0.052553033009861735,0.03612219479827702,0.14386951086357008,0.047001844540712,0.10899178110990798,0.05467359699876515,0.2088870030655044,0.1089548386356881,0.10288320636856085,0.0701276720004022,0.26710562812897554,0.07950912163849785,2560.0,4.927063299746454e-13,-3.620292471603771e-18,1.0,0.16362765195518209,3.7810285130460732,3.952233354236569,0.678081119431569,0.08928773963868919,0.29017105740573973,0.9999999999999998,0.5486832902953372,chb01_01.edf,
0.37580962112372596,0.0825273328666849,0.4859990869634402,0.38900827842879865,0.1555213477628201,0.06737653588850066,0.32086324306815106,0.14587056893467618,0.05586511342576377,0.03164042015505468,0.1613995478397237,0.04564922757190025,0.15264784054314537,0.07504657456460734,0.2823957443055308,0.14497047745867364,0.14517069703257834,0.09735976804404643,0.3326235159068941,0.14561147310815156,2560.0,3.144869309872432e-13,-6.75787928032704e-18,1.0,0.08395857451263479,3.8872298384707964,4.371787962551574,0.6467379870737759,0.0927464113540571,0.24889613368814598,0.9999999999999998,0.4841176539227307,chb01_01.edf,
0.3280701444175753,0.08944234617072759,0.4754583172718879,0.33850422671784264,0.16415156751662743,0.06562616762825212,0.2938301145165262,0.16494534494417346,0.056486671365713746,0.021148472497702017,0.09550839612035238,0.05367782772900503,0.14995867078657446,0.06678071279634341,0.29124685287255314,0.1519147148700841,0.12908314802710216,0.09167931891528404,0.3945488282569286,0.12394146711371673,2560.0,3.90958554644883e-13,-1.5687934043616342e-18,1.0,0.4417313538840097,3.293229496525968,4.486092308339834,0.5523197470413168,0.1470655256546907,0.26085850864971044,0.9999999999999998,0.5313282701831681,chb01_01.edf,
0.4677716370273988,0.08552731789264609,0.6577033117013821,0.4585467875846428,0.17333769532154636,0.05219631655490181,0.28443634448606353,0.16856387883673057,0.05468270455583441,0.02946870072980784,0.12393015995108665,0.045001755245810994,0.08837732854351522,0.04114101916237316,0.1979580738240642,0.07959650590537874,0.07755069962275565,0.04456367969688251,0.19053621918172584,0.06086769586562055,2560.0,2.844641322422941e-13,-2.9565721851430798e-18,1.0,0.3095277856699856,2.5738531880973268,3.8892509039288212,0.46595199111190594,0.14892476647476882,0.2875779034811378,1.0,0.694480166784394,chb01_01.edf,
0.46890086959359795,0.09355938426344612,0.6800709026923357,0.44636410273585136,0.1730887103680571,0.05847740846383566,0.2912943145207679,0.16948300089355647,0.054526229228167515,0.027229028540975246,0.10614015080999094,0.04884265924935873,0.09261295965707494,0.04072603045978402,0.1879525446020775,0.0811839888140303,0.08838622644997388,0.047907807884409605,0.1879401219810622,0.0768856814750426,2560.0,4.345261395000803e-13,-3.9823217187641486e-18,1.0,0.2857726810876397,2.939567035630038,3.942074457485029,0.46860477427973163,0.14061255940624667,0.2825502733614307,1.0,0.655688747639801,chb01_01.edf,
0.36835116329539336,0.0770604136633942,0.47244805404101664,0.3818031806836717,0.18667106554646265,0.05464984273305041,0.2699306998404317,0.20138055128264998,0.06273893899212811,0.023779376205566364,0.11800174857580988,0.06521049035950992,0.1367897184561841,0.05373771856480415,0.24120488577489152,0.1284413479538856,0.1319915974476864,0.08295416309020086,0.3010596237638202,0.09363953454798724,2560.0,3.547891072255397e-13,1.7498080279418227e-18,1.0,0.4924491068440105,5.1060583992209505,4.427470677923569,0.4677402671848098,0.15522105373112632,0.27580223623064865,0.9999999999999998,0.5879831151688311,chb01_01.edf,
0.4429906464719621,0.050706539137868704,0.5453493086934482,0.43560559053742653,0.18961967640280994,0.04345662789556719,0.27832264875307244,0.17931222625874496,0.058170857288363166,0.028529363593055322,0.1258461951204331,0.05741126847206991,0.08686779474944471,0.0365507959083868,0.15209351386120118,0.07706025228913588,0.05956618586126363,0.03180042125315643,0.15584934725904379,0.053637387743288925,2560.0,3.90958554644883e-13,-1.2067641572012571e-19,1.0,0.24160296814571627,4.030500347997589,3.8726091933025533,0.388510273596709,0.16663163855672208,0.2996144203076547,0.9999999999999998,0.7966396800478457,chb01_01.edf,
0.49059931209609947,0.05015647323023636,0.5916086453693753,0.47933527719056046,0.1865188829617827,0.049552585235408106,0.29641227518234425,0.1687702118957363,0.05508591926941107,0.027902228385004033,0.1117132202178239,0.05086256415296909,0.06683095187711387,0.020397340491284117,0.11081686735295486,0.06861559493625947,0.04184498965423491,0.020807809241020662,0.1124773544023547,0.040966291651628677,2560.0,3.547891072255397e-13,1.8704844436619485e-18,1.0,0.28320310097901713,3.89422927787159,3.619015703660438,0.3265742375276041,0.13900522185689174,0.31483265382735437,0.9999999999999998,0.8711314234975521,chb01_01.edf,
0.5593877621123436,0.11242410428489073,0.7389522805218582,0.5610947568647856,0.15241612799898263,0.05136435476251723,0.24595081049541617,0.1458605824467211,0.04462607621044378,0.02812463512755691,0.10556755599738475,0.03755224451110259,0.05885089765310614,0.027336902425031298,0.1029731619099892,0.05792942300659607,0.03928926870308314,0.01972609532524506,0.08847399523776016,0.03906605573016167,2560.0,3.144869309872432e-13,-3.439277848023583e-18,1.0,0.43752510346323326,6.4219101348660175,3.4386750869318066,0.4517510039394859,0.11835476288771267,0.34742160217089874,0.9999999999999998,0.7718914575304163,chb01_01.edf,
